Nro;PERIODO;PM10
1;2023-07-02 00;41.41
2;2023-07-02 01;41.23
3;2023-07-02 02;39.22
4;2023-07-02 03;37.55
5;2023-07-02 04;36.38
6;2023-07-02 05;29.86
7;2023-07-02 06;18.44
8;2023-07-02 07;20.3
9;2023-07-02 08;23.7
10;2023-07-02 09;19.02
11;2023-07-02 10;20.3
12;2023-07-02 11;24.23
13;2023-07-02 12;26.94
14;2023-07-02 13;29.11
15;2023-07-02 14;35.7
16;2023-07-02 15;46.22
17;2023-07-02 16;47.21
18;2023-07-02 17;42.27
19;2023-07-02 18;32.97
20;2023-07-02 19;25.2
21;2023-07-02 20;19.51
22;2023-07-02 21;16.58
23;2023-07-02 22;15.56
24;2023-07-02 23;18.94
25;2023-07-03 00;18.22
26;2023-07-03 01;15.48
27;2023-07-03 02;13.89
28;2023-07-03 03;12.91
29;2023-07-03 04;10.49
30;2023-07-03 05;11.28
31;2023-07-03 06;11.61
32;2023-07-03 07;12.88
33;2023-07-03 08;13.64
34;2023-07-03 09;13.92
35;2023-07-03 10;17.28
36;2023-07-03 11;24.71
37;2023-07-03 12;38.91
38;2023-07-03 13;50.1
39;2023-07-03 14;41.96
40;2023-07-03 15;35.42
41;2023-07-03 16;33
42;2023-07-03 17;38.95
43;2023-07-03 18;44.7
44;2023-07-03 19;44.27
45;2023-07-03 20;29.63
46;2023-07-03 21;23.58
47;2023-07-03 22;29.86
48;2023-07-03 23;27.76
49;2023-07-04 00;39.28
50;2023-07-04 01;34.47
51;2023-07-04 02;35.24
52;2023-07-04 03;37.92
53;2023-07-04 04;47.19
54;2023-07-04 05;58.16
55;2023-07-04 06;39.62
56;2023-07-04 07;35.68
57;2023-07-04 08;47.46
58;2023-07-04 09;51.03
59;2023-07-04 10;60.5
60;2023-07-04 11;87.8
61;2023-07-04 12;42.56
62;2023-07-04 13;39.38
63;2023-07-04 14;49.05
64;2023-07-04 15;54.63
65;2023-07-04 16;57.57
66;2023-07-04 17;55.28
67;2023-07-04 18;48.69
68;2023-07-04 19;49.75
69;2023-07-04 20;53.01
