PERIODO;PM10
2023-09-21 00;124.35
2023-09-21 01;99.02
2023-09-21 02;81.21
2023-09-21 03;68.43
2023-09-21 04;87.09
2023-09-21 05;83.14
2023-09-21 06;104.21
2023-09-21 07;121.61
2023-09-21 08;142.54
2023-09-21 09;114.59
2023-09-21 10;157.07
2023-09-21 11;141.21
2023-09-21 12;177.28
2023-09-21 13;179.93
2023-09-21 14;147.21
2023-09-21 15;149.63
2023-09-21 16;164.98
2023-09-21 17;145.84
2023-09-21 18;125.98
2023-09-21 19;111.05
2023-09-21 20;83.72
2023-09-21 21;118.88
2023-09-21 22;139.65
2023-09-21 23;135.71
2023-09-22 00;143.61
2023-09-22 01;91.71
2023-09-22 02;79.88
2023-09-22 03;117.49
2023-09-22 04;98.9
2023-09-22 05;51.55
2023-09-22 06;33.79
2023-09-22 07;46.71
2023-09-22 08;87.03
2023-09-22 09;117.6
2023-09-22 10;113.31
2023-09-22 11;142.32
2023-09-22 12;161.84
2023-09-22 13;159.43
2023-09-22 14;133.38
2023-09-22 15;127.8
2023-09-22 16;147.48
2023-09-22 17;135.64
2023-09-22 18;165.57
2023-09-22 19;118.97
2023-09-22 20;115.91
2023-09-22 21;112.96
2023-09-22 22;88.85
2023-09-22 23;161.43
2023-09-23 00;196.24
2023-09-23 01;203.79
2023-09-23 02;134.12
2023-09-23 03;167.72
2023-09-23 04;185.22
2023-09-23 05;141.85
2023-09-23 06;155.27
2023-09-23 07;256.53
2023-09-23 08;268.05
2023-09-23 09;267.19
2023-09-23 10;212.07
2023-09-23 11;199.79
2023-09-23 12;203.81
2023-09-23 13;172.75
2023-09-23 14;130.62
2023-09-23 15;122.41
2023-09-23 16;132.86
2023-09-23 17;115.37
2023-09-23 18;85.9
2023-09-23 19;110.54
2023-09-23 20;99.34
2023-09-23 21;116.13
2023-09-23 22;135.21
2023-09-23 23;106.1
2023-09-24 00;113.67
2023-09-24 01;139.47
2023-09-24 02;161.02
2023-09-24 03;121.1
2023-09-24 04;135.29
2023-09-24 05;117.06
2023-09-24 06;128.48
2023-09-24 07;91.42
2023-09-24 08;125.17
2023-09-24 09;129.29
2023-09-24 10;139.7
2023-09-24 11;96.24
2023-09-24 12;127.08
2023-09-24 13;131.02
2023-09-24 14;124.98
2023-09-24 15;106.95
2023-09-24 16;102.19
2023-09-24 17;119.38
2023-09-24 18;83.85
2023-09-24 19;45.11
2023-09-24 20;87.03
2023-09-24 21;74.28
2023-09-24 22;98.92
2023-09-24 23;86.25
2023-09-25 00;75.19
2023-09-25 01;100.23
2023-09-25 02;112.92
2023-09-25 03;124.91
2023-09-25 04;144.1
2023-09-25 05;123.39
2023-09-25 06;99.54
2023-09-25 07;139.78
2023-09-25 08;192.1
2023-09-25 09;190.74
2023-09-25 10;188.46
2023-09-25 11;206.22
2023-09-25 12;192.33
2023-09-25 13;203.27
2023-09-25 14;181.87
2023-09-25 15;166.11
2023-09-25 16;153.19
2023-09-25 17;150.82
2023-09-25 18;160.24
2023-09-25 19;129.15
2023-09-25 20;139.81
